"","PC1","PC2","PC3","Sample","sample_id","timepoint","genotype","stage","rep","isogenic","genotype_timepoint","isogenic_genotype_timepoint","isogenic_genotype_timepoint_rep","maturation_score"
"BA1D6_S1",-33.6494170643871,-15.3415481200155,-1.57509832064506,"BA1D6_S1","BA1D6_S1","6","D21","neuroepithelium",1,"WC24","D21_D6","WC24_D21_D6","WC24_D21_D6_1",-0.00569017325151501
"BA2D6_S2",-33.91585266245,-18.0094350487629,-1.3135365124053,"BA2D6_S2","BA2D6_S2","6","D21","neuroepithelium",2,"WC24","D21_D6","WC24_D21_D6","WC24_D21_D6_2",-0.015078179428714
"BA3D6_S3",-32.1068172538595,-12.9947220549955,-1.89706287662409,"BA3D6_S3","BA3D6_S3","6","D21","neuroepithelium",3,"WC24","D21_D6","WC24_D21_D6","WC24_D21_D6_3",0.0207683526802291
"BA1D10_S4",-10.5162926832783,16.6995672795919,-4.8035205779644,"BA1D10_S4","BA1D10_S4","10","D21","early neuroectoderm",1,"WC24","D21_D10","WC24_D21_D10","WC24_D21_D10_1",0.382245168895883
"BA2D10_S5",-12.4287782394451,14.0560840610219,-5.40535040440925,"BA2D10_S5","BA2D10_S5","10","D21","early neuroectoderm",2,"WC24","D21_D10","WC24_D21_D10","WC24_D21_D10_2",0.351592859294614
"BA3D10_S6",-7.20100802548024,17.6547949609675,-4.69065222974944,"BA3D10_S6","BA3D10_S6","10","D21","early neuroectoderm",3,"WC24","D21_D10","WC24_D21_D10","WC24_D21_D10_3",0.429700602397821
"BA1D17_S7",37.6463328046515,-5.17965838052295,-8.69292826194016,"BA1D17_S7","BA1D17_S7","17","D21","definitive neuroectoderm",1,"WC24","D21_D17","WC24_D21_D17","WC24_D21_D17_1",1.00975132207642
"BA2D17_S8",36.8277241054852,-4.46317880038087,-11.0525423120764,"BA2D17_S8","BA2D17_S8","17","D21","definitive neuroectoderm",2,"WC24","D21_D17","WC24_D21_D17","WC24_D21_D17_2",1.00370209604576
"BA3D17_S9",36.0332345189158,-6.5138299215535,-9.73976691904059,"BA3D17_S9","BA3D17_S9","17","D21","definitive neuroectoderm",3,"WC24","D21_D17","WC24_D21_D17","WC24_D21_D17_3",0.986546581877818
"MA1D6_S10",-25.4801419478919,-3.75123514720955,2.18436770007947,"MA1D6_S10","MA1D6_S10","6","T21","neuroepithelium",1,"WC24","T21_D6","WC24_T21_D6","WC24_T21_D6_1",0.123906807982011
"MA2D6_S11",-23.8720053742516,-2.39727815494486,0.947996608569217,"MA2D6_S11","MA2D6_S11","6","T21","neuroepithelium",2,"WC24","T21_D6","WC24_T21_D6","WC24_T21_D6_2",0.150784584199871
"MA3D6_S12",-25.5682584270367,-3.36119420526851,2.17981926006192,"MA3D6_S12","MA3D6_S12","6","T21","neuroepithelium",3,"WC24","T21_D6","WC24_T21_D6","WC24_T21_D6_3",0.123471353473557
"MA1D10_S13",-2.95855662994154,14.1418246984229,5.40516330090573,"MA1D10_S13","MA1D10_S13","10","T21","early neuroectoderm",1,"WC24","T21_D10","WC24_T21_D10","WC24_T21_D10_1",0.464906158211817
"MA2D10_S14",1.20387554187994,15.3493394633792,4.35914185526694,"MA2D10_S14","MA2D10_S14","10","T21","early neuroectoderm",2,"WC24","T21_D10","WC24_T21_D10","WC24_T21_D10_2",0.52642996477124
"MA3D10_S15",-0.573439835656488,15.3111191884697,5.4925392412252,"MA3D10_S15","MA3D10_S15","10","T21","early neuroectoderm",3,"WC24","T21_D10","WC24_T21_D10","WC24_T21_D10_3",0.499992459916283
"MA1D17_S16",30.654173761135,-7.45231411025961,10.8133977121965,"MA1D17_S16","MA1D17_S16","17","T21","definitive neuroectoderm",1,"WC24","T21_D17","WC24_T21_D17","WC24_T21_D17_1",0.877137212451104
"MA2D17_S17",31.1951869165695,-7.48542311111277,7.30186630119922,"MA2D17_S17","MA2D17_S17","17","T21","definitive neuroectoderm",2,"WC24","T21_D17","WC24_T21_D17","WC24_T21_D17_2",0.890230695017988
"MA3D17_S18",34.7100404950415,-6.26291259682664,10.4861664353505,"MA3D17_S18","MA3D17_S18","17","T21","definitive neuroectoderm",3,"WC24","T21_D17","WC24_T21_D17","WC24_T21_D17_3",0.935989161184055
